image_id,status,in samples
AC0301_M,not_satisfactory,
AC0301_M_sia,not_satisfactory,
AC0301_S,not_satisfactory,
AC0301_S_sia,not_satisfactory,
AC0302_1L_sia,not_satisfactory,
AC0302_1M_sia,not_satisfactory,
AC0302_1S_sia,not_satisfactory,
AC0302_1_L,not_satisfactory,
AC0302_1_M,not_satisfactory,
AC0302_1_S,not_satisfactory,
AC0302_2L_sia,not_satisfactory,
AC0302_2M_sia,not_satisfactory,
AC0302_2S_sia,not_satisfactory,
AC0302_2_L,not_satisfactory,
AC0302_2_M,not_satisfactory,
AC0302_2_S,not_satisfactory,
AC0302_L,not_satisfactory,
AC0302_L_sia,not_satisfactory,
AC0302_M,not_satisfactory,
AC0302_M_sia,not_satisfactory,
AC0302_S,not_satisfactory,
AC0302_S_sia,not_satisfactory,
AC0303_1L_sia,not_satisfactory,
AC0303_1M_sia,not_satisfactory,
AC0303_1S_sia,not_satisfactory,
AC0303_1_L,not_satisfactory,
AC0303_1_M,not_satisfactory,
AC0303_1_S,not_satisfactory,
AC0303_2L_sia,not_satisfactory,
AC0303_2M_sia,not_satisfactory,
AC0303_2S_sia,not_satisfactory,
AC0303_2_L,not_satisfactory,
AC0303_2_M,not_satisfactory,
AC0303_2_S,not_satisfactory,
AC0303_L,not_satisfactory,
AC0303_L_sia,not_satisfactory,
AC0303_M,not_satisfactory,
AC0303_M_sia,not_satisfactory,
AC0303_S,not_satisfactory,
AC0303_S_sia,not_satisfactory,
AC0304_1L_sia,not_satisfactory,
AC0304_1M_sia,not_satisfactory,
AC0304_1S_sia,not_satisfactory,
AC0304_1_L,not_satisfactory,
AC0304_1_M,not_satisfactory,
AC0304_1_S,not_satisfactory,
AC0304_2L_sia,not_satisfactory,
AC0304_2M_sia,not_satisfactory,
AC0304_2S_sia,not_satisfactory,
AC0304_2_L,not_satisfactory,
AC0304_2_M,not_satisfactory,
AC0304_2_S,not_satisfactory,
AC0304_L,not_satisfactory,
AC0304_L_sia,not_satisfactory,
AC0304_M,not_satisfactory,
AC0304_M_sia,not_satisfactory,
AC0304_S,not_satisfactory,
