variant,source,image_path,svg_path,width,height,mean_delta2,normalized_mse,status,image_area
AC0503_2S_sia,diff_inventory,artifacts/images_to_convert/AC0503_2S_sia.jpg,artifacts/converted_images/converted_svgs/AC0503_2S_sia.svg,20,40,3895.55126953125,0.019969505418589006,ok,800
AC0503_S_sia,diff_inventory,artifacts/images_to_convert/AC0503_S_sia.jpg,artifacts/converted_images/converted_svgs/AC0503_S_sia.svg,20,40,3024.191162109375,0.015502710045415225,ok,800
AC0521_L,diff_inventory,artifacts/images_to_convert/AC0521_L.jpg,artifacts/converted_images/converted_svgs/AC0521_L.svg,40,80,41299.5859375,0.21171132096629502,ok,3200
AC0521_M,diff_inventory,artifacts/images_to_convert/AC0521_M.jpg,artifacts/converted_images/converted_svgs/AC0521_M.svg,30,60,38764.49609375,0.19871585848391643,ok,1800
AC0531_2S_sia,diff_inventory,artifacts/images_to_convert/AC0531_2S_sia.jpg,artifacts/converted_images/converted_svgs/AC0531_2S_sia.svg,20,40,6719.0712890625,0.03444352833044983,ok,800
AC0531_S_sia,diff_inventory,artifacts/images_to_convert/AC0531_S_sia.jpg,artifacts/converted_images/converted_svgs/AC0531_S_sia.svg,20,40,5740.39501953125,0.029426605251986416,ok,800
AC0532_L,diff_inventory,artifacts/images_to_convert/AC0532_L.jpg,artifacts/converted_images/converted_svgs/AC0532_L.svg,80,40,8122.84765625,0.04163961377034474,ok,3200
AC0532_L_sia,diff_inventory,artifacts/images_to_convert/AC0532_L_sia.jpg,artifacts/converted_images/converted_svgs/AC0532_L_sia.svg,80,40,5598.548828125,0.028699468553761372,ok,3200
AC0532_M_sia,diff_inventory,artifacts/images_to_convert/AC0532_M_sia.jpg,artifacts/converted_images/converted_svgs/AC0532_M_sia.svg,60,30,5399.16357421875,0.027677373185793927,ok,1800
AC0533_2L_sia,diff_inventory,artifacts/images_to_convert/AC0533_2L_sia.jpg,artifacts/converted_images/converted_svgs/AC0533_2L_sia.svg,40,80,5567.8525390625,0.02854211220844547,ok,3200
