Dateiname;Gefundene Elemente;Beste Iteration;Diff-Score;FehlerProPixel
AC0812_L.jpg;SEMANTIC: Kreis ohne Buchstabe + SEMANTIC: waagrechter Strich rechts vom Kreis;1;18.47;0.01642035
AC0814_S.jpg;SEMANTIC: Kreis ohne Buchstabe + SEMANTIC: waagrechter Strich rechts vom Kreis;1;8.33;0.02220800
AC0820_S.jpg;SEMANTIC: Kreis + Buchstabe CO_2;1;29.51;0.13116049
AC0835_S.jpg;SEMANTIC: Kreis + Buchstabe VOC;1;31.48;0.13989136
AC0846_L.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;27.66;0.02458390
AC0846_S.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;22.35;0.05960533
AC0848_L.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;27.98;0.02487203
AC0863_S.jpg;SEMANTIC: senkrechter Strich oben vom Kreis + SEMANTIC: Kreis + Buchstabe rF + SEMANTIC: waagrechter Strich links vom Kreis;1;18.88;0.05034667
AC0864_L.jpg;SEMANTIC: Kreis + Buchstabe rF + SEMANTIC: waagrechter Strich links vom Kreis;1;17.12;0.01522173
AC0882_L.jpg;SEMANTIC: Kreis + Buchstabe + SEMANTIC: waagrechter Strich links vom Kreis;1;19.54;0.01737244
AC0900_L.jpg;;1;9.10;0.00129976
AC0901_M.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;11.77;0.00267500
AC0911_S.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;35.98;0.09594311
AC0932_L.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;21.79;0.01936514
AC1000_S.jpg;SEMANTIC: Kreis + Buchstabe;1;40.25;0.17888395
AC1001_S.jpg;SEMANTIC: Kreis + Buchstabe;1;39.02;0.10404267
AC5000_S.jpg;;1;29.86;0.01244375
AC5010_L_PKW.jpg;;1;25.43;0.00072463
AC5010_S.jpg;;1;41.19;0.00302895
AC5030_L.jpg;;1;33.57;0.00041650
AC5030_S.jpg;;1;30.91;0.00164859
AC5050_S.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;17.16;0.00180673
AR0043.jpg;;1;32.64;0.01866426
BackColorFullScreen.JPG;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;0.55;0.00137500
DLG0003.jpg;;1;10.22;0.00037127
DLG0013.JPG;;1;8.14;0.00093080
DLG0021.jpg;MANUELL: Beschreibung unzureichend (fehlende Geometriehinweise oder leerer Beschreibungstext).;1;52.09;0.09043351
DLG0030.jpg;;1;22.04;0.03826276
GE0001_L.jpg;;1;46.21;0.00943125
GE0002_M.jpg;MANUELL: Beschreibung unzureichend (fehlende Geometriehinweise oder leerer Beschreibungstext).;1;17.05;0.00473624
GE0004_M.jpg;MANUELL: Beschreibung unzureichend (fehlende Geometriehinweise oder leerer Beschreibungstext).;1;17.53;0.00486988
GE0011.jpg;;1;8.68;0.00001104
GE0012_M.jpg;;1;30.96;0.00859979
GE0015_L.jpg;;1;33.68;0.00687332
GE0021_M.jpg;;1;10.38;0.00288236
GE0023_1_M.jpg;;1;19.41;0.00539059
GE0023_S.jpg;;1;19.87;0.00794880
GE0027.jpg;MANUELL: Beschreibung unzureichend (fehlende Geometriehinweise oder leerer Beschreibungstext).;1;21.16;0.00397163
GE0032_S.jpg;;1;19.19;0.00767440
GE0033_S.jpg;;1;29.83;0.01193259
GE0034_S.jpg;;1;30.75;0.01229877
GE0036_M.jpg;;1;26.33;0.00731484
GE0043_M.jpg;;1;22.53;0.02503045
GE0045_L.jpg;;1;25.55;0.02085509
GE0045_S.jpg;;1;14.53;0.02325077
GE0100_M.jpg;;1;11.33;0.00161846
GE0107_S.jpg;;1;17.48;0.00332871
GE0109_S.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;15.85;0.00301893
GE0202_M.jpg;MANUELL: Beschreibung unzureichend (fehlende Geometriehinweise oder leerer Beschreibungstext).;1;16.92;0.00470095
GE0202_S.jpg;MANUELL: Beschreibung unzureichend (fehlende Geometriehinweise oder leerer Beschreibungstext).;1;17.48;0.00699211
GE0205_L.jpg;;1;21.05;0.00429495
GE0206_L.jpg;;1;16.13;0.00329238
GE0285.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;33.88;0.08469375
GE0304_L.jpg;MANUELL: Beschreibung unzureichend (fehlende Geometriehinweise oder leerer Beschreibungstext).;1;26.69;0.00544701
GE0308_L.jpg;;1;39.22;0.00800469
GE0347.jpg;;1;29.50;0.00524493
GE0350.jpg;;1;18.70;0.00332458
GE0355.jpg;;1;23.84;0.00423785
GE0365.jpg;;1;22.86;0.00423239
GE0999.jpg;MANUELL: Beschreibung unzureichend (fehlende Geometriehinweise oder leerer Beschreibungstext).;1;11.26;0.00200126
GE1001_M.jpg;MANUELL: Beschreibung unzureichend (fehlende Geometriehinweise oder leerer Beschreibungstext).;1;41.30;0.06608555
GE1003_L.jpg;;1;37.62;0.04179465
GE1100_S.jpg;;1;14.19;0.02838000
GE1101_S.jpg;;1;17.66;0.03532000
GE1310_M.jpg;SEMANTIC: waagrechter Strich rechts vom Kreis;1;1.81;0.00096474
GE1401_L.jpg;;1;12.57;0.00931248
GE1402_L.jpg;;1;15.24;0.01128523
GE1402_M.jpg;;1;13.69;0.01564691
GE1410_L.jpg;;1;47.60;0.07616085
GE9001_3Sx.jpg;;1;6.48;0.00174086
GE9001_6S.jpg;;1;22.16;0.03694074
GE9005_3M.jpg;;1;27.95;0.06987500
GE9005_7S.jpg;;1;23.30;0.23300000
GE9006_4S.jpg;;1;10.39;0.10386667
GE9006_7S.jpg;;1;24.66;0.24656667
GE9011_4M.jpg;;1;28.12;0.02342963
GE9012_2S.jpg;;1;39.29;0.13095556
GE9012_6M.jpg;;1;41.22;0.03434861
GE9013_1M.jpg;;1;45.14;0.03761458
GE9013_2S.jpg;;1;41.44;0.13812963
GE9014_7S.jpg;;1;29.18;0.09727037
GE9021_2M.jpg;;1;40.68;0.03389977
GE9021_2S.jpg;;1;36.95;0.12317778
GE9021_4M.jpg;;1;25.11;0.02092361
GE9021_6S.jpg;;1;46.68;0.15561481
GE9022_6M.jpg;;1;43.90;0.03658704
GE9022_7S.jpg;;1;29.65;0.09882222
GE9023_2S.jpg;;1;37.48;0.12492963
GE9031_7S.jpg;;1;16.93;0.04231250
GE9032_1M.jpg;;1;22.37;0.01398320
GE9032_1S.jpg;;1;30.38;0.07596042
GE9032_6S.jpg;;1;28.59;0.07148333
GE9033_1M.jpg;;1;24.60;0.01537552
GE9033_3M.jpg;;1;18.21;0.01138125
GE9033_4M.jpg;;1;16.65;0.01040885
GE9034_2S.jpg;;1;26.80;0.06699583
GE9034_6S.jpg;;1;28.73;0.07181250
GE9035_2S.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;30.70;0.07673750
GE9041_1S.jpg;;1;16.29;0.04073125
GE9041_5S.jpg;;1;13.74;0.03433958
GE9042_3S.jpg;;1;15.27;0.03818125
GE9043_1M.jpg;;1;15.95;0.00996797
GE9043_2S.jpg;;1;14.80;0.03699792
GE9043_3S.jpg;;1;12.34;0.03085625
GE9043_6S.jpg;;1;19.22;0.04805625
GE9044_3M.jpg;;1;13.45;0.00840417
GE9901_L.jpg;;1;3.67;0.00000466
L60x.jpg;;1;56.25;0.00677751
NAV0014.JPG;;1;31.41;0.02326694
SE0010.jpg;;1;25.43;0.03912899
SE0014.jpg;;1;20.95;0.02014238
SE0024.jpg;;1;16.89;0.02010629
SE0041_1.jpg;SEMANTIC: Kreis ohne Buchstabe + SEMANTIC: senkrechter Strich hinter dem Kreis + SEMANTIC: waagrechter Strich rechts vom Kreis + REFERENZ: Abgeleitet aus AC0811;1;65.98;0.05355166
SE0071.jpg;SEMANTIC: Kreis ohne Buchstabe + SEMANTIC: senkrechter Strich hinter dem Kreis + SEMANTIC: waagrechter Strich rechts vom Kreis + REFERENZ: Abgeleitet aus AC0811;1;25.04;0.02568310
SE0072.jpg;SEMANTIC: Kreis ohne Buchstabe + SEMANTIC: senkrechter Strich hinter dem Kreis + SEMANTIC: waagrechter Strich rechts vom Kreis + REFERENZ: Abgeleitet aus AC0811 + REFERENZ: Abgeleitet aus SE0041;1;27.60;0.03154808
