hypothesis_group;bases;variants;max_geometry_delta;topology_signature_count;topology_signatures;text_orientation_policies;status
ac08_ring_scale_no_geometry_change;AC0800,AC0820;AC0800_L|AC0800_M|AC0800_S|AC0820_L;0.1000;2;circle+no_text+no_stem+no_arm+text_mode:none,circle+text+no_stem+no_arm+text_mode:co2;inherit_variant;rejected
ac08_rotational_topology;AC0812,AC0814;AC0812_L|AC0812_M|AC0814_L|AC0814_M|AC0814_S;0.9778;1;circle+no_text+no_stem+arm+text_mode:none;rotate_with_geometry;rejected
