variant;filename;status;best_iter;best_error;error_per_pixel;mean_delta2;std_delta2
AC0551_2_L;AC0551_2_L.jpg;;1;28.632083;0.00894753;3238.301758;2786.206055
AC0551_2_S;AC0551_2_S.jpg;;1;30.220833;0.03777604;3589.155029;2297.259766
AC0552_L;AC0552_L.jpg;;1;23.618542;0.00738079;3379.093018;6334.794922
AC0554_1_M;AC0554_1_M.jpg;;1;27.839630;0.01546646;5097.756836;9646.432617
AC0554_M;AC0554_M.jpg;;1;20.415556;0.01134198;2693.459961;6091.077148
AC0572_M;AC0572_M.jpg;;1;16.617222;0.00923179;2578.068359;7164.053711
AC0704_L;AC0704_L.jpg;;1;18.752000;0.01666844;3206.976074;8321.258789
AC0711_M;AC0711_M.jpg;;1;20.772857;0.02967551;4627.778809;11841.917969
AC0712_M;AC0712_M.jpg;;1;22.619048;0.03231293;4151.128418;10715.068359
AC0713_1_L;AC0713_1_L.jpg;;1;29.586667;0.02629926;7251.375000;12634.479492
AC0713_1_M;AC0713_1_M.jpg;;1;33.057143;0.04722449;9186.342773;16219.938477
AC0713_M;AC0713_M.jpg;;1;21.707143;0.03101020;4512.338379;10849.670898
AC0721_1_L;AC0721_1_L.jpg;;1;11.302519;0.01004668;3473.224854;12949.695312
AC0723_M;AC0723_M.jpg;;1;24.067143;0.03438163;5500.847168;12698.833984
AC0734_1_M;AC0734_1_M.jpg;;1;32.812381;0.04687483;11425.802734;20917.056641
AC0800_L;AC0800_L.jpg;;0;;;626.599976;1559.946289
AC0812_L;AC0812_L.jpg;;1;18.472889;0.01642035;819.733337;2630.451172
AC0812_M;AC0812_M.jpg;;0;;;1687.868530;6916.199707
AC0812_S;AC0812_S.jpg;;0;;;697.168030;1595.431396
AC0814_M;AC0814_M.jpg;;0;;;1679.704346;6910.367188
AC0814_S;AC0814_S.jpg;;1;8.328000;0.02220800;748.719971;2077.811279
AC0820_L;AC0820_L.jpg;;0;;;7458.403320;13596.955078
AC0820_S;AC0820_S.jpg;;1;29.511111;0.13116049;5785.013184;9320.757812
AC0832_L;AC0832_L.jpg;;0;;;5384.218750;12344.456055
AC0832_M;AC0832_M.jpg;;0;;;5257.187012;12332.290039
AC0832_S;AC0832_S.jpg;;0;;;3674.855957;7488.608887
AC0834_L;AC0834_L.jpg;;0;;;3420.221436;10831.695312
AC0834_M;AC0834_M.jpg;;0;;;4659.295898;11822.006836
AC0834_S;AC0834_S.jpg;;0;;;3770.976074;11067.128906
AC0835_M;AC0835_M.jpg;;0;;;7424.032715;13100.988281
AC0835_S;AC0835_S.jpg;;1;31.475556;0.13989136;6373.213379;11414.652344
AC0837_M;AC0837_M.jpg;;0;;;5521.928711;13202.775391
AC0837_S;AC0837_S.jpg;;0;;;3344.303955;9528.550781
AC0839_M;AC0839_M.jpg;;0;;;5271.827148;13002.995117
AC0839_S;AC0839_S.jpg;;0;;;3389.488037;9608.041016
AC0846_L;AC0846_L.jpg;;1;27.656889;0.02458390;7123.439941;14403.709961
AC0846_S;AC0846_S.jpg;;1;22.352000;0.05960533;5217.279785;12120.835938
AC0848_L;AC0848_L.jpg;;1;27.981037;0.02487203;7535.952148;15223.121094
AC0863_S;AC0863_S.jpg;;1;18.880000;0.05034667;4662.895996;13019.604492
AC0864_L;AC0864_L.jpg;;1;17.124444;0.01522173;4655.224121;13306.292969
AC0870_L;AC0870_L.jpg;;0;;;6557.373535;13085.426758
