root;node;depth;parent;node_line;edge_caller;edge_callee;edge_call_line;edge_caller_line;edge_callee_line;edge_raw_callee
Reflection.parse_description;_collect_description_fragments;1;Reflection.parse_description;8725;Reflection.parse_description;_collect_description_fragments;1165;1161;8725;_collect_description_fragments
Reflection.parse_description;get_base_name_from_file;2;_collect_description_fragments;903;_collect_description_fragments;get_base_name_from_file;8729;8725;903;get_base_name_from_file
Reflection._extract_documented_alias_refs;Reflection._extract_documented_alias_refs;0;;1288;;;;;;
Reflection._parse_semantic_badge_layout_overrides;Reflection._parse_semantic_badge_layout_overrides;0;;1300;;;;;;
Action.grayhex;Action.grayhex;0;;1480;;;;;;
Action._snap_half;Action._snap_half;0;;1485;;;;;;
Action._clip_scalar;Action._clip_scalar;0;;1489;;;;;;
Action._ScalarRng.__init__;Action._ScalarRng.__init__;0;;1493;;;;;;
Action._ScalarRng.uniform;Action._ScalarRng.uniform;0;;1496;;;;;;
Action._ScalarRng.uniform;uniform;1;Action._ScalarRng.uniform;0;Action._ScalarRng.uniform;uniform;1497;1496;0;self._rng.uniform
Action._ScalarRng.normal;Action._ScalarRng.normal;0;;1499;;;;;;
Action._make_rng;Action._make_rng;0;;1503;;;;;;
Action._argmin_index;Action._argmin_index;0;;1509;;;;;;
Action._snap_int_px;Action._snap_int_px;0;;1513;;;;;;
Action._max_circle_radius_inside_canvas;Action._max_circle_radius_inside_canvas;0;;1517;;;;;;
Action._is_circle_with_text;Action._is_circle_with_text;0;;1525;;;;;;
Action._apply_circle_text_width_constraint;Action._apply_circle_text_width_constraint;0;;1530;;;;;;
Action._apply_circle_text_width_constraint;_is_circle_with_text;1;Action._apply_circle_text_width_constraint;0;Action._apply_circle_text_width_constraint;_is_circle_with_text;1532;1530;0;Action._is_circle_with_text
Action._apply_circle_text_radius_floor;Action._apply_circle_text_radius_floor;0;;1539;;;;;;
Action._apply_circle_text_radius_floor;_text_bbox;1;Action._apply_circle_text_radius_floor;0;Action._apply_circle_text_radius_floor;_text_bbox;1543;1539;0;Action._text_bbox
Action._apply_circle_text_radius_floor;_is_circle_with_text;1;Action._apply_circle_text_radius_floor;0;Action._apply_circle_text_radius_floor;_is_circle_with_text;1541;1539;0;Action._is_circle_with_text
Action._clamp_circle_inside_canvas;Action._clamp_circle_inside_canvas;0;;1552;;;;;;
Action._clamp_circle_inside_canvas;_apply_circle_text_radius_floor;1;Action._clamp_circle_inside_canvas;0;Action._clamp_circle_inside_canvas;_apply_circle_text_radius_floor;1572;1552;0;Action._apply_circle_text_radius_floor
Action._clamp_circle_inside_canvas;_max_circle_radius_inside_canvas;1;Action._clamp_circle_inside_canvas;0;Action._clamp_circle_inside_canvas;_max_circle_radius_inside_canvas;1563;1552;0;Action._max_circle_radius_inside_canvas
Action._clamp_circle_inside_canvas;_apply_circle_text_width_constraint;1;Action._clamp_circle_inside_canvas;0;Action._clamp_circle_inside_canvas;_apply_circle_text_width_constraint;1564;1552;0;Action._apply_circle_text_width_constraint
Action.apply_redraw_variation;Action.apply_redraw_variation;0;;1585;;;;;;
Action.apply_redraw_variation;_apply_numeric_jitter;1;Action.apply_redraw_variation;0;Action.apply_redraw_variation;_apply_numeric_jitter;1632;1585;0;_apply_numeric_jitter
Action.apply_redraw_variation;_clamp_circle_inside_canvas;1;Action.apply_redraw_variation;0;Action.apply_redraw_variation;_clamp_circle_inside_canvas;1634;1585;0;Action._clamp_circle_inside_canvas
Action.apply_redraw_variation;_make_rng;1;Action.apply_redraw_variation;0;Action.apply_redraw_variation;_make_rng;1597;1585;0;Action._make_rng
Action.apply_redraw_variation;_reanchor_arm_to_circle_edge;1;Action.apply_redraw_variation;0;Action.apply_redraw_variation;_reanchor_arm_to_circle_edge;1636;1585;0;Action._reanchor_arm_to_circle_edge
Action._uniform;Action._uniform;0;;1599;;;;;;
Action._apply_numeric_jitter;Action._apply_numeric_jitter;0;;1604;;;;;;
Action._enforce_circle_connector_symmetry;Action._enforce_circle_connector_symmetry;0;;1648;;;;;;
Action._quantize_badge_params;Action._quantize_badge_params;0;;1698;;;;;;
Action._quantize_badge_params;_enforce_circle_connector_symmetry;1;Action._quantize_badge_params;0;Action._quantize_badge_params;_enforce_circle_connector_symmetry;1744;1698;0;Action._enforce_circle_connector_symmetry
Action._quantize_badge_params;_max_circle_radius_inside_canvas;1;Action._quantize_badge_params;0;Action._quantize_badge_params;_max_circle_radius_inside_canvas;1754;1698;0;Action._max_circle_radius_inside_canvas
Action._quantize_badge_params;_clamp_circle_inside_canvas;1;Action._quantize_badge_params;0;Action._quantize_badge_params;_clamp_circle_inside_canvas;1745;1698;0;Action._clamp_circle_inside_canvas
Action._quantize_badge_params;_snap_half;1;Action._quantize_badge_params;0;Action._quantize_badge_params;_snap_half;1780;1698;0;Action._snap_half
Action._quantize_badge_params;_snap_int_px;1;Action._quantize_badge_params;0;Action._quantize_badge_params;_snap_int_px;1729;1698;0;Action._snap_int_px
Action._normalize_light_circle_colors;Action._normalize_light_circle_colors;0;;1785;;;;;;
Action._normalize_ac08_line_widths;Action._normalize_ac08_line_widths;0;;1795;;;;;;
Action._estimate_border_background_gray;Action._estimate_border_background_gray;0;;1821;;;;;;
Action._estimate_circle_tones_and_stroke;Action._estimate_circle_tones_and_stroke;0;;1832;;;;;;
Action._persist_connector_length_floor;Action._persist_connector_length_floor;0;;1864;;;;;;
Action._is_ac08_small_variant;Action._is_ac08_small_variant;0;;1895;;;;;;
Action._configure_ac08_small_variant_mode;Action._configure_ac08_small_variant_mode;0;;1916;;;;;;
Action._configure_ac08_small_variant_mode;_is_ac08_small_variant;1;Action._configure_ac08_small_variant_mode;0;Action._configure_ac08_small_variant_mode;_is_ac08_small_variant;1919;1916;0;Action._is_ac08_small_variant
Action._configure_ac08_small_variant_mode;_persist_connector_length_floor;1;Action._configure_ac08_small_variant_mode;0;Action._configure_ac08_small_variant_mode;_persist_connector_length_floor;1934;1916;0;Action._persist_connector_length_floor
Action._enforce_template_circle_edge_extent;Action._enforce_template_circle_edge_extent;0;;1951;;;;;;
Action._enforce_template_circle_edge_extent;_max_circle_radius_inside_canvas;1;Action._enforce_template_circle_edge_extent;0;Action._enforce_template_circle_edge_extent;_max_circle_radius_inside_canvas;1972;1951;0;Action._max_circle_radius_inside_canvas
Action._tune_ac08_left_connector_family;Action._tune_ac08_left_connector_family;0;;1992;;;;;;
Action._tune_ac08_left_connector_family;_is_ac08_small_variant;1;Action._tune_ac08_left_connector_family;0;Action._tune_ac08_left_connector_family;_is_ac08_small_variant;2021;1992;0;Action._is_ac08_small_variant
Action._tune_ac08_left_connector_family;_enforce_template_circle_edge_extent;1;Action._tune_ac08_left_connector_family;0;Action._tune_ac08_left_connector_family;_enforce_template_circle_edge_extent;2034;1992;0;Action._enforce_template_circle_edge_extent
Action._tune_ac08_left_connector_family;_center_glyph_bbox;1;Action._tune_ac08_left_connector_family;0;Action._tune_ac08_left_connector_family;_center_glyph_bbox;2070;1992;0;Action._center_glyph_bbox
Action._tune_ac08_left_connector_family;_enforce_left_arm_badge_geometry;1;Action._tune_ac08_left_connector_family;0;Action._tune_ac08_left_connector_family;_enforce_left_arm_badge_geometry;2042;1992;0;Action._enforce_left_arm_badge_geometry
Action._tune_ac08_left_connector_family;get_base_name_from_file;1;Action._tune_ac08_left_connector_family;903;Action._tune_ac08_left_connector_family;get_base_name_from_file;2006;1992;903;get_base_name_from_file
Action._tune_ac08_right_connector_family;Action._tune_ac08_right_connector_family;0;;2074;;;;;;
Action._tune_ac08_right_connector_family;_is_ac08_small_variant;1;Action._tune_ac08_right_connector_family;0;Action._tune_ac08_right_connector_family;_is_ac08_small_variant;2104;2074;0;Action._is_ac08_small_variant
Action._tune_ac08_right_connector_family;_enforce_right_arm_badge_geometry;1;Action._tune_ac08_right_connector_family;0;Action._tune_ac08_right_connector_family;_enforce_right_arm_badge_geometry;2125;2074;0;Action._enforce_right_arm_badge_geometry
Action._tune_ac08_right_connector_family;_enforce_template_circle_edge_extent;1;Action._tune_ac08_right_connector_family;0;Action._tune_ac08_right_connector_family;_enforce_template_circle_edge_extent;2117;2074;0;Action._enforce_template_circle_edge_extent
Action._tune_ac08_right_connector_family;get_base_name_from_file;1;Action._tune_ac08_right_connector_family;903;Action._tune_ac08_right_connector_family;get_base_name_from_file;2089;2074;903;get_base_name_from_file
Action._enforce_vertical_connector_badge_geometry;Action._enforce_vertical_connector_badge_geometry;0;;2157;;;;;;
Action._tune_ac08_vertical_connector_family;Action._tune_ac08_vertical_connector_family;0;;2204;;;;;;
Action._tune_ac08_vertical_connector_family;_is_ac08_small_variant;1;Action._tune_ac08_vertical_connector_family;0;Action._tune_ac08_vertical_connector_family;_is_ac08_small_variant;2236;2204;0;Action._is_ac08_small_variant
Action._tune_ac08_vertical_connector_family;_enforce_vertical_connector_badge_geometry;1;Action._tune_ac08_vertical_connector_family;0;Action._tune_ac08_vertical_connector_family;_enforce_vertical_connector_badge_geometry;2254;2204;0;Action._enforce_vertical_connector_badge_geometry
Action._tune_ac08_vertical_connector_family;get_base_name_from_file;1;Action._tune_ac08_vertical_connector_family;903;Action._tune_ac08_vertical_connector_family;get_base_name_from_file;2215;2204;903;get_base_name_from_file
Action._tune_ac08_circle_text_family;Action._tune_ac08_circle_text_family;0;;2277;;;;;;
Action._tune_ac08_circle_text_family;_center_glyph_bbox;1;Action._tune_ac08_circle_text_family;0;Action._tune_ac08_circle_text_family;_center_glyph_bbox;2348;2277;0;Action._center_glyph_bbox
Action._tune_ac08_circle_text_family;_max_circle_radius_inside_canvas;1;Action._tune_ac08_circle_text_family;0;Action._tune_ac08_circle_text_family;_max_circle_radius_inside_canvas;2317;2277;0;Action._max_circle_radius_inside_canvas
Action._tune_ac08_circle_text_family;get_base_name_from_file;1;Action._tune_ac08_circle_text_family;903;Action._tune_ac08_circle_text_family;get_base_name_from_file;2286;2277;903;get_base_name_from_file
Action._finalize_ac08_style;Action._finalize_ac08_style;0;;2353;;;;;;
Action._finalize_ac08_style;_normalize_ac08_line_widths;1;Action._finalize_ac08_style;0;Action._finalize_ac08_style;_normalize_ac08_line_widths;2363;2353;0;Action._normalize_ac08_line_widths
Action._finalize_ac08_style;_configure_ac08_small_variant_mode;1;Action._finalize_ac08_style;0;Action._finalize_ac08_style;_configure_ac08_small_variant_mode;2568;2353;0;Action._configure_ac08_small_variant_mode
Action._finalize_ac08_style;_reanchor_arm_to_circle_edge;1;Action._finalize_ac08_style;0;Action._finalize_ac08_style;_reanchor_arm_to_circle_edge;2524;2353;0;Action._reanchor_arm_to_circle_edge
Action._finalize_ac08_style;_normalize_light_circle_colors;1;Action._finalize_ac08_style;0;Action._finalize_ac08_style;_normalize_light_circle_colors;2359;2353;0;Action._normalize_light_circle_colors
Action._finalize_ac08_style;_capture_canonical_badge_colors;1;Action._finalize_ac08_style;0;Action._finalize_ac08_style;_capture_canonical_badge_colors;2359;2353;0;Action._capture_canonical_badge_colors
Action._finalize_ac08_style;_persist_connector_length_floor;1;Action._finalize_ac08_style;0;Action._finalize_ac08_style;_persist_connector_length_floor;2528;2353;0;Action._persist_connector_length_floor
Action._finalize_ac08_style;_normalize_centered_co2_label;1;Action._finalize_ac08_style;0;Action._finalize_ac08_style;_normalize_centered_co2_label;2365;2353;0;Action._normalize_centered_co2_label
Action._finalize_ac08_style;_align_stem_to_circle_center;1;Action._finalize_ac08_style;0;Action._finalize_ac08_style;_align_stem_to_circle_center;2522;2353;0;Action._align_stem_to_circle_center
Action._finalize_ac08_style;_clip_scalar;1;Action._finalize_ac08_style;0;Action._finalize_ac08_style;_clip_scalar;2638;2353;0;Action._clip_scalar
Action._finalize_ac08_style;_tune_ac0833_co2_badge;1;Action._finalize_ac08_style;0;Action._finalize_ac08_style;_tune_ac0833_co2_badge;2373;2353;0;Action._tune_ac0833_co2_badge
Action._finalize_ac08_style;_needs_large_circle_overflow_guard;1;Action._finalize_ac08_style;10384;Action._finalize_ac08_style;_needs_large_circle_overflow_guard;2434;2353;10384;_needs_large_circle_overflow_guard
Action._activate_ac08_adaptive_locks;Action._activate_ac08_adaptive_locks;0;;2644;;;;;;
Action._release_ac08_adaptive_locks;Action._release_ac08_adaptive_locks;0;;2655;;;;;;
Action._align_stem_to_circle_center;Action._align_stem_to_circle_center;0;;2666;;;;;;
Action._default_ac0870_params;Action._default_ac0870_params;0;;2682;;;;;;
Action._default_ac0870_params;_center_glyph_bbox;1;Action._default_ac0870_params;0;Action._default_ac0870_params;_center_glyph_bbox;2699;2682;0;Action._center_glyph_bbox
Action._default_ac0870_params;_normalize_light_circle_colors;1;Action._default_ac0870_params;0;Action._default_ac0870_params;_normalize_light_circle_colors;2700;2682;0;Action._normalize_light_circle_colors
Action._default_ac0881_params;Action._default_ac0881_params;0;;2703;;;;;;
Action._default_ac0881_params;_default_ac0870_params;1;Action._default_ac0881_params;0;Action._default_ac0881_params;_default_ac0870_params;2704;2703;0;Action._default_ac0870_params
Action._default_ac081x_shared;Action._default_ac081x_shared;0;;2714;;;;;;
Action._default_edge_anchored_circle_geometry;Action._default_edge_anchored_circle_geometry;0;;2736;;;;;;
Action._default_ac0811_params;Action._default_ac0811_params;0;;2781;;;;;;
Action._default_ac0811_params;_normalize_light_circle_colors;1;Action._default_ac0811_params;0;Action._default_ac0811_params;_normalize_light_circle_colors;2798;2781;0;Action._normalize_light_circle_colors
Action._default_ac0811_params;_default_edge_anchored_circle_geometry;1;Action._default_ac0811_params;0;Action._default_ac0811_params;_default_edge_anchored_circle_geometry;2786;2781;0;Action._default_edge_anchored_circle_geometry
Action._default_ac0811_params;_default_ac081x_shared;1;Action._default_ac0811_params;0;Action._default_ac0811_params;_default_ac081x_shared;2784;2781;0;Action._default_ac081x_shared
Action._estimate_upper_circle_from_foreground;Action._estimate_upper_circle_from_foreground;0;;2816;;;;;;
Action._estimate_upper_circle_from_foreground;_clip_scalar;1;Action._estimate_upper_circle_from_foreground;0;Action._estimate_upper_circle_from_foreground;_clip_scalar;2865;2816;0;Action._clip_scalar
Action._fit_ac0811_params_from_image;Action._fit_ac0811_params_from_image;0;;2869;;;;;;
Action._fit_ac0811_params_from_image;_fit_semantic_badge_from_image;1;Action._fit_ac0811_params_from_image;0;Action._fit_ac0811_params_from_image;_fit_semantic_badge_from_image;2878;2869;0;Action._fit_semantic_badge_from_image
Action._fit_ac0811_params_from_image;_normalize_light_circle_colors;1;Action._fit_ac0811_params_from_image;0;Action._fit_ac0811_params_from_image;_normalize_light_circle_colors;2979;2869;0;Action._normalize_light_circle_colors
Action._fit_ac0811_params_from_image;_estimate_upper_circle_from_foreground;1;Action._fit_ac0811_params_from_image;0;Action._fit_ac0811_params_from_image;_estimate_upper_circle_from_foreground;2892;2869;0;Action._estimate_upper_circle_from_foreground
Action._fit_ac0811_params_from_image;_persist_connector_length_floor;1;Action._fit_ac0811_params_from_image;0;Action._fit_ac0811_params_from_image;_persist_connector_length_floor;2977;2869;0;Action._persist_connector_length_floor
Action._fit_ac0811_params_from_image;_clip_scalar;1;Action._fit_ac0811_params_from_image;0;Action._fit_ac0811_params_from_image;_clip_scalar;2946;2869;0;Action._clip_scalar
Action._default_ac0882_params;Action._default_ac0882_params;0;;2982;;;;;;
Action._default_ac0882_params;_center_glyph_bbox;1;Action._default_ac0882_params;0;Action._default_ac0882_params;_center_glyph_bbox;3000;2982;0;Action._center_glyph_bbox
Action._default_ac0882_params;_default_ac081x_shared;1;Action._default_ac0882_params;0;Action._default_ac0882_params;_default_ac081x_shared;2983;2982;0;Action._default_ac081x_shared
Action._apply_co2_label;Action._apply_co2_label;0;;3004;;;;;;
Action._co2_layout;Action._co2_layout;0;;3023;;;;;;
Action._apply_voc_label;Action._apply_voc_label;0;;3225;;;;;;
Action._tune_ac0832_co2_badge;Action._tune_ac0832_co2_badge;0;;3235;;;;;;
Action._tune_ac0831_co2_badge;Action._tune_ac0831_co2_badge;0;;3251;;;;;;
Action._tune_ac0835_voc_badge;Action._tune_ac0835_voc_badge;0;;3296;;;;;;
Action._tune_ac0833_co2_badge;Action._tune_ac0833_co2_badge;0;;3312;;;;;;
Action._tune_ac0833_co2_badge;_normalize_light_circle_colors;1;Action._tune_ac0833_co2_badge;0;Action._tune_ac0833_co2_badge;_normalize_light_circle_colors;3314;3312;0;Action._normalize_light_circle_colors
Action._tune_ac0834_co2_badge;Action._tune_ac0834_co2_badge;0;;3322;;;;;;
Action._default_ac0834_params;Action._default_ac0834_params;0;;3348;;;;;;
Action._default_ac0834_params;_default_ac0814_params;1;Action._default_ac0834_params;0;Action._default_ac0834_params;_default_ac0814_params;3350;3348;0;Action._default_ac0814_params
Action._default_ac0834_params;_apply_co2_label;1;Action._default_ac0834_params;0;Action._default_ac0834_params;_apply_co2_label;3350;3348;0;Action._apply_co2_label
Action._default_ac0834_params;_tune_ac0834_co2_badge;1;Action._default_ac0834_params;0;Action._default_ac0834_params;_tune_ac0834_co2_badge;3350;3348;0;Action._tune_ac0834_co2_badge
Action._normalize_centered_co2_label;Action._normalize_centered_co2_label;0;;3353;;;;;;
Action._default_ac0812_params;Action._default_ac0812_params;0;;3388;;;;;;
Action._default_ac0812_params;_normalize_light_circle_colors;1;Action._default_ac0812_params;0;Action._default_ac0812_params;_normalize_light_circle_colors;3403;3388;0;Action._normalize_light_circle_colors
Action._default_ac0812_params;_default_ac081x_shared;1;Action._default_ac0812_params;0;Action._default_ac0812_params;_default_ac081x_shared;3391;3388;0;Action._default_ac081x_shared
Action._fit_ac0812_params_from_image;Action._fit_ac0812_params_from_image;0;;3423;;;;;;
Action._fit_ac0812_params_from_image;_fit_semantic_badge_from_image;1;Action._fit_ac0812_params_from_image;0;Action._fit_ac0812_params_from_image;_fit_semantic_badge_from_image;3425;3423;0;Action._fit_semantic_badge_from_image
Action._fit_ac0812_params_from_image;_max_circle_radius_inside_canvas;1;Action._fit_ac0812_params_from_image;0;Action._fit_ac0812_params_from_image;_max_circle_radius_inside_canvas;3448;3423;0;Action._max_circle_radius_inside_canvas
Action._fit_ac0812_params_from_image;_normalize_light_circle_colors;1;Action._fit_ac0812_params_from_image;0;Action._fit_ac0812_params_from_image;_normalize_light_circle_colors;3501;3423;0;Action._normalize_light_circle_colors
Action._enforce_left_arm_badge_geometry;Action._enforce_left_arm_badge_geometry;0;;3504;;;;;;
Action._enforce_right_arm_badge_geometry;Action._enforce_right_arm_badge_geometry;0;;3533;;;;;;
Action._default_ac0813_params;Action._default_ac0813_params;0;;3582;;;;;;
Action._default_ac0813_params;_normalize_light_circle_colors;1;Action._default_ac0813_params;0;Action._default_ac0813_params;_normalize_light_circle_colors;3596;3582;0;Action._normalize_light_circle_colors
Action._default_ac0813_params;_default_edge_anchored_circle_geometry;1;Action._default_ac0813_params;0;Action._default_ac0813_params;_default_edge_anchored_circle_geometry;3589;3582;0;Action._default_edge_anchored_circle_geometry
Action._default_ac0813_params;_default_ac081x_shared;1;Action._default_ac0813_params;0;Action._default_ac0813_params;_default_ac081x_shared;3585;3582;0;Action._default_ac081x_shared
Action._fit_ac0813_params_from_image;Action._fit_ac0813_params_from_image;0;;3615;;;;;;
Action._fit_ac0813_params_from_image;_clip_scalar;1;Action._fit_ac0813_params_from_image;0;Action._fit_ac0813_params_from_image;_clip_scalar;3657;3615;0;Action._clip_scalar
Action._fit_ac0813_params_from_image;_fit_semantic_badge_from_image;1;Action._fit_ac0813_params_from_image;0;Action._fit_ac0813_params_from_image;_fit_semantic_badge_from_image;3617;3615;0;Action._fit_semantic_badge_from_image
Action._fit_ac0813_params_from_image;_normalize_light_circle_colors;1;Action._fit_ac0813_params_from_image;0;Action._fit_ac0813_params_from_image;_normalize_light_circle_colors;3672;3615;0;Action._normalize_light_circle_colors
Action._rotate_semantic_badge_clockwise;Action._rotate_semantic_badge_clockwise;0;;3675;;;;;;
Action._rotate_semantic_badge_clockwise;rotate_clockwise;1;Action._rotate_semantic_badge_clockwise;0;Action._rotate_semantic_badge_clockwise;rotate_clockwise;3687;3675;0;rotate_clockwise
Action.rotate_clockwise;Action.rotate_clockwise;0;;3679;;;;;;
Action._default_ac0814_params;Action._default_ac0814_params;0;;3691;;;;;;
Action._default_ac0814_params;_normalize_light_circle_colors;1;Action._default_ac0814_params;0;Action._default_ac0814_params;_normalize_light_circle_colors;3706;3691;0;Action._normalize_light_circle_colors
