image;mean_delta2;std_delta2;tile_std_delta2;localized_error_fraction;spatial_quality_score
AC0835_S.jpg;5776.586426;8845.129883;5229.324852;0.611369;12666.322938
AC0861_S.jpg;3756.535889;10483.048828;6812.974640;0.849681;12436.197621
AC0864_S.jpg;3584.912109;10041.804688;7183.380094;0.871410;12400.745272
AC0890_L.jpg;3861.234619;11926.965820;7098.818545;0.764511;11724.814732
AC0883_S.jpg;4268.071777;9265.739258;5554.091134;0.736524;11676.834221
AC0812_S.jpg;4454.943848;9594.445312;5292.495784;0.707396;11623.231283
AC0890_S.jpg;3741.887939;9798.876953;6926.806241;0.763882;11169.446653
AC0883_M.jpg;3310.718506;9024.125977;5151.769665;0.811530;10793.636284
AC0890_M.jpg;3582.209717;10064.690430;5452.969932;0.749886;10338.340439
AC0834_L.jpg;3045.104004;9616.558594;5757.252064;0.839054;10158.495359
AC0832_S.jpg;3520.040039;7255.926758;5022.807571;0.798436;9915.880917
AC0538_L_sia.jpg;2480.960693;8782.035156;3826.116137;0.874452;8821.884636
AC0538_M_sia.jpg;2396.288330;7997.331543;3758.200386;0.883409;8401.505526
AC0538_S_sia.jpg;2142.138672;6782.409180;3152.464207;0.872450;7168.991744
AC0814_M.jpg;1679.704346;6910.367188;3686.915225;0.951609;6069.143217
AC0814_L.jpg;815.807983;2673.526855;1340.317306;0.826158;2563.813779
AC0800_S.jpg;899.773315;1675.581177;1010.182216;0.739060;2300.981858
AC0814_S.jpg;748.719971;2077.811279;1049.167329;0.756918;2167.270204
AC0800_L.jpg;626.599976;1559.946289;838.238898;0.741786;1692.284862
AC0800_M.jpg;53.910000;149.655472;67.627010;0.770033;151.909152
