variant;filename;status;best_iter;best_error;error_per_pixel;mean_delta2;std_delta2
AC0839_L;AC0839_L.jpg;;1;15.052444;0.01337995;3514.954590;10554.486328
AC0839_M;AC0839_M.jpg;;1;18.174286;0.02596327;4419.882812;11720.463867
AC0839_S;AC0839_S.jpg;;1;17.666667;0.04711111;3506.040039;10249.995117
AC0842_L;AC0842_L.jpg;;1;23.789333;0.02114607;6570.669434;14544.086914
AC0842_M;AC0842_M.jpg;;1;26.984286;0.03854898;7806.501465;15998.500977
AC0842_S;AC0842_S.jpg;;1;25.677333;0.06847289;5712.344238;11580.287109
AC0870_L;AC0870_L.jpg;;1;25.776667;0.02864074;6200.356445;12850.410156
AC0870_M;AC0870_M.jpg;;1;27.592500;0.06898125;5690.992676;9924.251953
AC0870_S;AC0870_S.jpg;;1;32.213333;0.14317037;6124.746582;8998.083984
AC0881_L;AC0881_L.jpg;;1;19.216889;0.01708168;5543.581543;14332.851562
AC0881_M;AC0881_M.jpg;;1;12.751429;0.01821633;1901.708618;4230.747070
AC0881_S;AC0881_S.jpg;;1;10.557333;0.02815289;1082.744019;2193.385742
AC0882_L;AC0882_L.jpg;;1;11.073778;0.00984336;2166.453369;7459.955566
AC0882_M;AC0882_M.jpg;;1;23.532857;0.03361837;6267.278809;14017.906250
AC0882_S;AC0882_S.jpg;;1;22.922667;0.06112711;4948.496094;10045.763672
