variant;status;perf_probe_total_sec;global_search_sec;circle_center_sec;circle_radius_sec;width_opt_sec;probe_events
AC0862_L;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0862_M;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0862_S;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0863_L;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0863_M;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0863_S;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0864_L;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0864_M;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0864_S;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0870_L;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0870_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0881_L;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0882_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0883_L;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0883_M;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0883_S;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0884_L;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0884_M;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0884_S;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0890_L;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0890_M;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0890_S;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
