variant,image_path,status,expected_first_primitive,decision,matched_candidate_kinds,matched_seed_kinds,top_candidate_kind,top_confidence,next_action
AC0253_1,artifacts/images_to_convert/AC0253_1.jpg,evaluated,circle_with_rotated_triangle,generalisiert,"circle,line,ring",CircleBackground,circle,0.9671,Im nächsten Plan-B-Paket als vorinitialisierten Geometry-IR-Seed protokollieren.
AC0551_2_M,artifacts/images_to_convert/AC0551_2_M.jpg,evaluated,rectangle_horizontal_rules_and_chevron,nur Sonderfall,"line,rectangle",,line,1.0,"Als Perception-Hinweis dokumentieren, aber noch keinen generischen Seed erzwingen."
AC0733_1_L,artifacts/images_to_convert/AC0733_1_L.jpg,evaluated,rotated_symbol_with_horizontal_p_glyph,nur Sonderfall,line,,line,0.8042,"Als Perception-Hinweis dokumentieren, aber noch keinen generischen Seed erzwingen."
AC0733_1_M,artifacts/images_to_convert/AC0733_1_M.jpg,evaluated,rotated_symbol_with_horizontal_p_glyph,nur Sonderfall,line,,line,0.8254,"Als Perception-Hinweis dokumentieren, aber noch keinen generischen Seed erzwingen."
AC0722_1_L,artifacts/images_to_convert/AC0722_1_L.jpg,evaluated,left_connector_square_with_t_glyph,noch nicht erkannt,,,circle,0.9632,Vor der Plan-B-Umsetzung zusätzliche Detector-/ROI-Regel oder manuelle Seed-Annahme festhalten.
